"Id";"variable";"value"
"lf OSU";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"JamesBond";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Mystik51";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Dinn";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"marcinko";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Lenochod";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Lachtan";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"random VSB student";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Pospa";"Uzivatelska rozhrani (Bc)";1
"brajenisek";"Uzivatelska rozhrani (Bc)";1
"JakubCH";"Uzivatelska rozhrani (Bc)";1
"ebola";"Uzivatelska rozhrani (Bc)";1
"Rudolph";"Uzivatelska rozhrani (Bc)";1
"Fox";"Uzivatelska rozhrani (Bc)";1
"Alex";"Uzivatelska rozhrani (Bc)";1
"Tess";"Uzivatelska rozhrani (Bc)";1
"DemoX";"Uzivatelska rozhrani (Bc)";1
"Mystik51";"Uzivatelska rozhrani (Bc)";1
"Tomio";"Uzivatelska rozhrani (Bc)";1
"kufrik";"Uzivatelska rozhrani (Bc)";1
"Pospa";"Vyvoj informacnich systemu (Bc)";1
"brajenisek";"Vyvoj informacnich systemu (Bc)";1
"JakubCH";"Vyvoj informacnich systemu (Bc)";1
"El Daniel";"Vyvoj informacnich systemu (Bc)";1
"Rudolph";"Vyvoj informacnich systemu (Bc)";1
"Vojta K.";"Vyvoj informacnich systemu (Bc)";1
"Tess";"Vyvoj informacnich systemu (Bc)";1
"leebro123";"Vyvoj informacnich systemu (Bc)";1
"lf OSU";"Vyvoj informacnich systemu (Bc)";1
"Tomio";"Vyvoj informacnich systemu (Bc)";1
"Lenochod";"Vyvoj informacnich systemu (Bc)";1
"brajenisek";"Architektura technologie .NET (Bc)";1
"JakubCH";"Architektura technologie .NET (Bc)";1
"El Daniel";"Architektura technologie .NET (Bc)";1
"Rudolph";"Architektura technologie .NET (Bc)";1
"Vojta K.";"Architektura technologie .NET (Bc)";1
"Alex";"Architektura technologie .NET (Bc)";1
"Tess";"Architektura technologie .NET (Bc)";1
"leebro123";"Architektura technologie .NET (Bc)";1
"keafe";"Architektura technologie .NET (Bc)";1
"lf OSU";"Architektura technologie .NET (Bc)";1
"JamesBond";"Architektura technologie .NET (Bc)";1
"yoshi";"Architektura technologie .NET (Bc)";1
"random VSB student";"Architektura technologie .NET (Bc)";1
"JakubCH";"Databazove systemy (Bc)";1
"Rudolph";"Databazove systemy (Bc)";1
"Vojta K.";"Databazove systemy (Bc)";1
"keafe";"Databazove systemy (Bc)";1
"omar";"Databazove systemy (Bc)";1
"Tomio";"Databazove systemy (Bc)";1
"Lenochod";"Databazove systemy (Bc)";1
"JakubCH";"Informacni systemy pro elektronicke podnikani (Bc)";1
"Letajici spagetove monstrum";"Informacni systemy pro elektronicke podnikani (Bc)";1
"Tomio";"Informacni systemy pro elektronicke podnikani (Bc)";1
"Lenochod";"Informacni systemy pro elektronicke podnikani (Bc)";1
"kufrik";"Informacni systemy pro elektronicke podnikani (Bc)";1
"Alex";"Java technologie (Bc)";1
"keafe";"Java technologie (Bc)";1
"Mystik51";"Java technologie (Bc)";1
"Rudolph";"Sprava Windows systemu (Bc)";1
"Fox";"Sprava Windows systemu (Bc)";1
"Alex";"Sprava Windows systemu (Bc)";1
"Mystik51";"Sprava Windows systemu (Bc)";1
"yoshi";"Sprava Windows systemu (Bc)";1
"kufrik";"Sprava Windows systemu (Bc)";1
"Tess";"Technologie databazovych systemu II (Bc)";1
"Rudolph";"Vyvoj internetovych aplikaci (Bc)";1
"Vojta K.";"Vyvoj internetovych aplikaci (Bc)";1
"Alex";"Vyvoj internetovych aplikaci (Bc)";1
"leebro123";"Vyvoj internetovych aplikaci (Bc)";1
"Mystik51";"Vyvoj internetovych aplikaci (Bc)";1
"marcinko";"Vyvoj internetovych aplikaci (Bc)";1
"omar";"Vyvoj internetovych aplikaci (Bc)";1
"Lachtan";"Vyvoj internetovych aplikaci (Bc)";1
"Bronco";"Vyvoj internetovych aplikaci (Bc)";1
"Tess";"Zaklady pocitacove grafiky (Bc)";1
"Lenochod";"Administrace databazovych systemu (Bc)";1
"Pospa";"Elektronicke publikovani (Bc)";1
"Rudolph";"Elektronicke publikovani (Bc)";1
"leebro123";"Elektronicke publikovani (Bc)";1
"keafe";"Elektronicke publikovani (Bc)";1
"lf OSU";"Elektronicke publikovani (Bc)";1
"Mystik51";"Elektronicke publikovani (Bc)";1
"Bronco";"Elektronicke publikovani (Bc)";1
"Fox";"Geoinformacni technologie (Bc)";1
"Pospa";"Legislativa v telekomunikacich (Bc)";1
"Fox";"Legislativa v telekomunikacich (Bc)";1
"Dinn";"Legislativa v telekomunikacich (Bc)";1
"Tess";"Modelovani v grafickych aplikacich (Bc)";1
"Lenochod";"Paralelni a distribuovane systemy (Bc)";1
"yoshi";"Paralelni a distribuovane systemy (Bc)";1
"Pospa";"Pocitacova bezpecnost (Bc)";1
"ebola";"Pocitacova bezpecnost (Bc)";1
"Alex";"Pocitacova bezpecnost (Bc)";1
"Pat0072";"Pocitacova bezpecnost (Bc)";1
